Algorithm,mean_reward,final_reward,total_reward,num_trials
thompsonsampling_multiarmed,0.7534,1.0,7534.0,10000.0
epsilongreedy_eps0.3,0.7496,1.0,7496.0,10000.0
epsilongreedy_eps0.1,0.7419,0.0,7419.0,10000.0
epsilongreedy_eps0.01,0.7414,0.0,7414.0,10000.0
