Algorithm,mean_reward,final_reward,total_reward,num_trials
thompsonsampling_multiarmed,0.7485,1.0,7485.0,10000.0
epsilongreedy_eps0.1,0.7288,1.0,7288.0,10000.0
epsilongreedy_eps0.01,0.6964,0.0,6964.0,10000.0
epsilongreedy_eps0.3,0.672,1.0,6720.0,10000.0
